track_name,track_artist,track_popularity,track_album_name,track_album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_year,release_month,release_day
Dance Monkey,Tones and I,100,Dance Monkey (Stripped Back) / Dance Monkey,2019-10-17,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438,2019,10,17
ROXANNE,Arizona Zervas,99,ROXANNE,2019-10-10,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,2019,10,10
Blinding Lights,The Weeknd,98,Blinding Lights,2019-11-29,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,2019,11,29
Circles,Post Malone,98,Hollywood's Bleeding,2019-09-06,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,2019,9,6
Tusa,KAROL G,98,Tusa,2019-11-07,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,2019,11,7
The Box,Roddy Ricch,98,Please Excuse Me For Being Antisocial,2019-12-06,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,2019,12,6
Memories,Maroon 5,98,Memories,2019-09-20,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,2019,9,20
Falling,Trevor Daniel,97,Falling,2018-10-05,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,159382,2018,10,5
everything i wanted,Billie Eilish,97,everything i wanted,2019-11-13,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,2019,11,13
Don't Start Now,Dua Lipa,97,Don't Start Now,2019-10-31,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,2019,10,31
RITMO (Bad Boys For Life),The Black Eyed Peas,96,RITMO (Bad Boys For Life),2019-10-12,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,2019,10,12
bad guy,Billie Eilish,95,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,2019,3,29
Yummy,Justin Bieber,95,Yummy,2020-01-03,0.662,0.519,9,-6.554,0,0.106,0.404,0.0,0.121,0.495,145.841,210427,2020,1,3
hot girl bummer,blackbear,94,hot girl bummer,2019-08-23,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,2019,8,23
Ride It,Regard,94,Ride It,2019-07-26,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606,2019,7,26
My Oh My (feat. DaBaby),Camila Cabello,94,Romance,2019-12-06,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,170746,2019,12,6
HIGHEST IN THE ROOM,Travis Scott,94,HIGHEST IN THE ROOM,2019-10-04,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,2019,10,4
Someone You Loved,Lewis Capaldi,94,Divinely Uninspired To A Hellish Extent,2019-05-17,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,2019,5,17
