track_name,track_artist,track_popularity,track_album_name,track_album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_year,release_month,release_day,key_name,duration_min,duration_sec
Dance Monkey,Tones and I,100,Dance Monkey (Stripped Back) / Dance Monkey,2019-10-17,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438,2019,10,17,F#/Gb,3.4906333333333333,209.438
ROXANNE,Arizona Zervas,99,ROXANNE,2019-10-10,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,2019,10,10,F#/Gb,2.7272666666666665,163.636
Blinding Lights,The Weeknd,98,Blinding Lights,2019-11-29,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,2019,11,29,C#/Db,3.35955,201.573
Circles,Post Malone,98,Hollywood's Bleeding,2019-09-06,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,2019,9,6,C,3.588,215.28
Tusa,KAROL G,98,Tusa,2019-11-07,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,2019,11,7,D,3.3493333333333335,200.96
The Box,Roddy Ricch,98,Please Excuse Me For Being Antisocial,2019-12-06,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,2019,12,6,A#/Bb,3.2775499999999997,196.653
Memories,Maroon 5,98,Memories,2019-09-20,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,2019,9,20,B,3.1580999999999997,189.486
Falling,Trevor Daniel,97,Falling,2018-10-05,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,159382,2018,10,5,A#/Bb,2.6563666666666665,159.382
everything i wanted,Billie Eilish,97,everything i wanted,2019-11-13,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,2019,11,13,F#/Gb,4.090433333333333,245.426
Don't Start Now,Dua Lipa,97,Don't Start Now,2019-10-31,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,2019,10,31,B,3.0548333333333333,183.29
RITMO (Bad Boys For Life),The Black Eyed Peas,96,RITMO (Bad Boys For Life),2019-10-12,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,2019,10,12,A#/Bb,3.6952333333333334,221.714
bad guy,Billie Eilish,95,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,2019,3,29,G,3.2348,194.088
Yummy,Justin Bieber,95,Yummy,2020-01-03,0.662,0.519,9,-6.554,0,0.106,0.404,0.0,0.121,0.495,145.841,210427,2020,1,3,A,3.5071166666666667,210.427
hot girl bummer,blackbear,94,hot girl bummer,2019-08-23,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,2019,8,23,F#/Gb,3.084883333333333,185.093
Ride It,Regard,94,Ride It,2019-07-26,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606,2019,7,26,G,2.6267666666666667,157.606
My Oh My (feat. DaBaby),Camila Cabello,94,Romance,2019-12-06,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,170746,2019,12,6,G#/Ab,2.845766666666667,170.746
HIGHEST IN THE ROOM,Travis Scott,94,HIGHEST IN THE ROOM,2019-10-04,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,2019,10,4,G,2.9286833333333333,175.721
Someone You Loved,Lewis Capaldi,94,Divinely Uninspired To A Hellish Extent,2019-05-17,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,2019,5,17,C#/Db,3.036016666666667,182.161
Lose You To Love Me,Selena Gomez,93,Lose You To Love Me,2019-10-23,0.505,0.34,4,-9.005,1,0.0438,0.576,0.0,0.21,0.0916,101.993,206459,2019,10,23,E,3.4409833333333335,206.459
Heartless,The Weeknd,93,Heartless,2019-11-27,0.531,0.75,10,-5.831,0,0.111,0.00632,7.6e-05,0.117,0.198,169.954,200080,2019,11,27,A#/Bb,3.3346666666666667,200.08
BOP,DaBaby,93,KIRK,2019-09-27,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,159715,2019,9,27,B,2.661916666666667,159.715
Vete,Bad Bunny,93,Vete,2019-11-21,0.886,0.672,1,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976,192024,2019,11,21,C#/Db,3.2004,192.024
Señorita,Shawn Mendes,93,Señorita,2019-06-21,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,190960,2019,6,21,A,3.182666666666667,190.96
Life Is Good (feat. Drake),Future,93,Life Is Good (feat. Drake),2020-01-10,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735,2020,1,10,D,3.96225,237.735
China,Anuel AA,93,China,2019-07-19,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,2019,7,19,G,5.028566666666666,301.714
Fantasias,Rauw Alejandro,92,Fantasias,2019-08-29,0.879,0.703,1,-4.219,1,0.0701,0.143,0.0,0.0569,0.788,94.004,199711,2019,8,29,C#/Db,3.328516666666667,199.711
Bandit (with YoungBoy Never Broke Again),Juice WRLD,92,Bandit (with YoungBoy Never Broke Again),2019-10-04,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,2019,10,4,F,3.1553833333333334,189.323
No Idea,Don Toliver,92,No Idea,2019-05-29,0.656,0.614,6,-4.973,0,0.102,0.558,0.000862,0.215,0.35,128.038,153750,2019,5,29,F#/Gb,2.5625,153.75
Lucid Dreams,Juice WRLD,92,Goodbye & Good Riddance,2018-12-10,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,2018,12,10,F#/Gb,3.997266666666667,239.836
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,91,No.6 Collaborations Project,2019-07-12,0.857,0.621,9,-6.376,0,0.0824,0.148,0.0,0.0865,0.668,97.986,204467,2019,7,12,A,3.4077833333333336,204.467
Futsal Shuffle 2020,Lil Uzi Vert,91,Futsal Shuffle 2020,2019-12-12,0.881,0.457,7,-8.191,0,0.156,0.0327,0.0,0.231,0.296,136.97,198913,2019,12,12,G,3.3152166666666667,198.913
LA CANCIÓN,J Balvin,91,OASIS,2019-06-28,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573,2019,6,28,G,4.042883333333333,242.573
How Do You Sleep?,Sam Smith,91,How Do You Sleep?,2019-07-19,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205,2019,7,19,C#/Db,3.3700833333333335,202.205
