track_popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_occurences,duration_sec,genre_latin,genre_pop,genre_r&b,genre_rap,genre_rock,subgenre_big room,subgenre_classic rock,subgenre_dance pop,subgenre_electro house,subgenre_electropop,subgenre_gangster rap,subgenre_hard rock,subgenre_hip hop,subgenre_hip pop,subgenre_indie poptimism,subgenre_latin hip hop,subgenre_latin pop,subgenre_neo soul,subgenre_new jack swing,subgenre_permanent wave,subgenre_pop edm,subgenre_post-teen pop,subgenre_progressive electro house,subgenre_reggaeton,subgenre_southern hip hop,subgenre_trap,subgenre_tropical,subgenre_urban contemporary,days_since_release
100,0.824,0.588,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,2,209.438,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2388
99,0.621,0.601,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,4,163.636,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2395
98,0.513,0.796,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,8,201.573,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2345
98,0.695,0.762,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,5,215.28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2429
98,0.803,0.715,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,7,200.96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2367
98,0.896,0.586,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,8,196.653,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338
98,0.764,0.32,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,8,189.486,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2415
97,0.784,0.43,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,6,159.382,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2765
97,0.704,0.225,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,8,245.426,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2361
97,0.794,0.793,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,8,183.29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2374
96,0.721,0.716,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,7,221.714,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2393
95,0.701,0.425,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,8,194.088,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590
95,0.662,0.519,-6.554,0,0.106,0.404,0.0,0.121,0.495,145.841,7,210.427,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2310
94,0.778,0.559,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,7,185.093,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2443
94,0.88,0.751,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,8,157.606,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2471
94,0.724,0.491,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,7,170.746,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338
